county,factor,value,scope,node_windows,MAE,delta_vs_STID_MAE,RMSE,bias,MAE@h3,MAE@h6,MAE@h12
LosAngeles,impact_abs,mid,history_any,8664,10.307079937613436,0.015169359158283768,16.095405934843257,-0.75572220326069,9.810873313188859,10.357878595869117,11.104929594511397
LosAngeles,impact_abs,mid,ongoing,888,10.857985442772405,-0.0405012233876505,16.987246447428838,-0.8784073475927047,10.147310855043383,11.165137948848503,11.65617415612779
LosAngeles,impact_abs,mid,post_last_slot,1403,10.3654933364481,0.0831571099253452,15.986021771543834,-0.9105492031758022,10.058809568556093,10.42968827280505,11.189092399751075
Orange,impact_abs,high,future_any,2358,21.940702217188996,-0.08343163840791235,35.855371755455366,1.1739528941293047,19.441637007436128,21.925498145665877,25.12501305311154
Orange,impact_abs,high,history_any,2353,21.915442855713525,0.11668606137298454,32.997009140126615,0.1095807108956177,20.04418212759929,22.190204174742007,23.582674696020884
Orange,impact_abs,high,ongoing,238,21.639425831109705,-0.12442178323235353,31.329919209427672,0.006136146061856982,19.570495991767206,22.020781134754294,22.42933081775778
Orange,impact_abs,high,post_last_slot,381,22.171159600391228,-0.17113634369475506,31.952131340476658,0.08149893650884506,19.736702813042534,22.37339589961622,23.007759315671894
Orange,impact_abs,low,future_any,4717,5.060469834968719,-0.0427329839561672,9.537764310344894,-0.6180489479822359,4.471764852634101,4.981844997702429,5.843226542380618
Orange,impact_abs,low,history_any,4710,5.150248832300519,0.08585507253836333,10.183642994017399,-0.8003968789709358,4.597992211266746,5.089230145107616,6.130985486829603
Orange,impact_abs,low,ongoing,477,5.359269788188319,0.005454217664227379,9.537515662234709,-0.44835362433311554,5.000441781227504,5.443938173273558,6.154652502225793
Orange,impact_abs,low,post_last_slot,763,4.966590144234862,0.046243734386067104,9.289578357860243,-0.7546867127857044,4.622130129349793,4.853341545671585,5.992218749893482
Orange,impact_abs,mid,future_any,2357,10.012212318134633,0.05664969843714118,15.370753842146994,-0.5058775833056274,9.689115537278196,9.92976357804968,10.932206464717883
Orange,impact_abs,mid,history_any,2349,9.783346005620212,0.01506153989514658,15.198879706294107,-0.6568857291175519,9.51675835470868,9.914383453199527,10.488334624734643
Orange,impact_abs,mid,ongoing,237,10.414900053903931,0.10660918626917137,15.670263924869937,-1.2568491963113042,9.60288746610601,11.583616037571684,11.022044024889983
Orange,impact_abs,mid,post_last_slot,379,9.92330517498314,0.039479712222485475,15.982571521448953,-0.5315865185243863,9.028705546061198,10.747178873697917,10.44196000845426
Alameda,impact_direction,drop,future_any,2420,12.895441964053575,-0.05548282076764721,21.376131544904247,1.7664740564013293,12.037590251911354,12.82493116276877,14.033390114290324
Alameda,impact_direction,drop,history_any,2445,12.72281187659027,0.018936717550360527,22.545651232148195,2.259350097674446,11.959186843456212,12.792993169197977,13.312440026899305
Alameda,impact_direction,drop,ongoing,242,14.187453485777763,-0.05793034892767679,24.163651986530912,3.59535453585571,12.249618434906006,13.823771011730857,14.27937371620146
Alameda,impact_direction,drop,post_last_slot,402,13.618654355384741,-0.06725686709287437,23.14995198045584,2.016937519191865,12.460248477494897,13.478436481982545,13.280478269315614
Alameda,impact_direction,rise,future_any,2509,14.024920868127525,-0.14973565289763258,24.917274853156275,-5.614607968492573,13.011111335692165,14.22605761469627,15.247619044673336
Alameda,impact_direction,rise,history_any,2483,13.85274364607323,-0.25453026620066943,22.59003089289382,-6.447486960418129,13.232914417515289,14.204603622726806,15.118089698008355
Alameda,impact_direction,rise,ongoing,256,14.639536724637715,-0.2210908422794553,23.973547017803863,-6.560731235068984,13.551434774247427,14.464439376769775,16.70888676817118
Alameda,impact_direction,rise,post_last_slot,399,13.798576077637454,-0.35293930949742247,22.69938088815212,-5.834418234657949,13.611847963308614,13.82804898134212,15.323730548016437
ContraCosta,impact_direction,drop,future_any,1547,17.359970362662484,-0.07801604277483065,31.996144713833356,4.996038106757512,15.65527159062213,17.82604424116794,19.372105201555662
ContraCosta,impact_direction,drop,history_any,1542,16.747171526119537,0.2332332206209422,30.031248267494185,3.122645999764836,15.398025164309688,16.808023161253598,18.635629898333328
ContraCosta,impact_direction,drop,ongoing,168,17.952209228026366,0.2182565280096327,30.918278336594085,5.558856037193405,16.343102374708796,18.674264172473585,20.49859292492895
ContraCosta,impact_direction,drop,post_last_slot,242,17.38225975489167,0.1703060546789814,31.307867137918468,3.557243749135371,16.287279360463927,15.937427393063341,19.81224185078084
ContraCosta,impact_direction,rise,future_any,1454,14.205673557723252,0.3197855463601176,23.462022123847312,-4.356973368320921,13.989339855055956,14.062511468016728,15.300507902270066
ContraCosta,impact_direction,rise,history_any,1458,14.961548197385822,0.284478364019602,24.271739580542857,-6.255749690482806,13.876446323967112,15.13583867330737,16.485550593196887
ContraCosta,impact_direction,rise,ongoing,160,13.000735115075388,0.3705080191126875,22.309701537351614,-4.842723733883889,13.640039869174835,14.10780197719358,12.824183980370783
ContraCosta,impact_direction,rise,post_last_slot,241,14.673292792692816,0.4651850482462656,25.406709750501232,-6.13290752064098,15.357122453592591,15.947035785499477,14.062464251296932
LosAngeles,impact_direction,drop,future_any,12278,13.27043371074083,0.033980799019106556,22.41765373165153,3.720812416893082,12.40157802869598,13.2906809044992,14.715516796178015
LosAngeles,impact_direction,drop,history_any,11980,13.89270395337947,0.020775615044490436,25.14964001994986,4.363166020174843,12.916999865169283,13.861961094655598,15.36156075591683
LosAngeles,impact_direction,drop,ongoing,1190,13.42448429000922,-0.06116048338135727,23.385823647986655,4.242148377723301,12.254472294460337,13.111802025178893,15.715956242427522
LosAngeles,impact_direction,drop,post_last_slot,1886,13.183618341366806,0.017497321601185334,23.155957515550472,4.239112410917789,12.121419661490876,12.849790843205708,15.151995510059399
LosAngeles,impact_direction,rise,future_any,12384,13.68012983115324,-0.03898505173699718,24.08934523908084,-5.1654190229905685,12.54797427875774,13.738288336160318,15.191717446583786
LosAngeles,impact_direction,rise,history_any,12622,13.778289872227615,0.09801995573540978,26.0465355539907,-5.740694461978103,12.68945674598217,13.852357737698814,15.352598521468197
LosAngeles,impact_direction,rise,ongoing,1309,14.605642159134677,0.06283392112605135,29.181335532621013,-6.529669690853297,12.53501386156269,15.399743948140607,16.59935611161832
LosAngeles,impact_direction,rise,post_last_slot,2090,14.16875777903961,0.09572651408762489,27.403741890401236,-5.954700140939368,13.05759668795862,14.438479104376263,15.933811071121246
Orange,impact_direction,drop,future_any,3281,13.631659323876994,0.011536551339514034,25.794179517106887,5.192970635949792,12.405441519021988,13.703578903589984,15.296004514456772
Orange,impact_direction,drop,history_any,3330,13.225715989223525,0.11718537999942669,23.15723822949231,4.524892401160659,12.28665581199414,13.32830192996877,13.933762695065779
Orange,impact_direction,drop,ongoing,354,13.487926509167819,-0.13169296532216102,22.770105367833,4.588540126913882,12.219023676643594,13.860856488693592,13.313083748195483
Orange,impact_direction,drop,post_last_slot,564,13.581229892223686,-0.1388592624269549,23.555162088931635,4.6049567372744455,11.994571082732257,13.995039785609526,13.737699560970885
Orange,impact_direction,rise,future_any,3393,12.774837047443215,0.0067067755878049695,22.217304850147936,-4.6042063620782665,11.677063212407514,12.513708877563477,14.381948140401217
Orange,impact_direction,rise,history_any,3324,13.046042781331368,0.025874805630479614,21.822201700299708,-4.934121443170742,12.313912300502553,13.240195097746673,14.34678151434556
Orange,impact_direction,rise,ongoing,342,12.938800776472805,0.20154282306843818,20.114944257314146,-5.369710297905287,12.064549885824055,13.80752815886172,14.309334815448866
Orange,impact_direction,rise,post_last_slot,520,12.724440467820829,0.08237950934799443,20.16055360089857,-5.257743326285431,11.95704834163189,12.990962456268015,14.049510516226292
Alameda,incident_type,1141,future_any,960,9.9491313755853,0.03333766974196628,17.025100972451867,-0.09328888583914872,9.492128897713615,9.965605699866387,10.71671804865369
Alameda,incident_type,1141,history_any,960,10.377059688464382,-0.1252362478368525,18.970938193118187,0.18644545765513929,10.443436732762297,10.403220501813022,10.207333831787109
Alameda,incident_type,1141,ongoing,84,10.449705108882874,-0.04907756214692505,18.775171589272677,0.471144393360208,10.50842531644381,9.701093792915344,12.32325175451854
Alameda,incident_type,1141,post_last_slot,154,10.686092335033486,-0.18302843575918715,19.334696714536634,0.3538599757495277,10.163969829164703,10.391137496284816,11.655919192130106
Alameda,incident_type,NoInj,future_any,2944,12.680023549071542,-0.04187874741715092,23.573452139364992,-3.4148484754993205,11.846379235128019,12.770928367084226,13.612680613599865
Alameda,incident_type,NoInj,history_any,2944,12.148094190407939,-0.05757348517619931,21.234049087910208,-3.1704104387031737,11.097436010812894,12.408576526389217,13.467079557493854
Alameda,incident_type,NoInj,ongoing,280,12.47519294569347,0.04010342963363023,21.68295952678859,-3.960828070494336,10.77129985905495,12.6272533641142,13.071944964134087
Alameda,incident_type,NoInj,post_last_slot,474,12.3532647901546,0.022603936196389895,21.177281911051303,-3.3017144732779213,11.27539299945442,12.883012640567227,12.510240676762807
Alameda,incident_type,UnknInj,future_any,2866,13.034152491315364,-0.17299862233122454,22.270850957835183,-0.5482489330053295,11.910091024848327,13.078387727695782,14.395456778397701
Alameda,incident_type,UnknInj,history_any,2866,13.018384278783184,-0.12797217233399216,22.693986132283754,-0.9741408915636186,12.593317878178427,13.1890067366413,13.688288176695997
Alameda,incident_type,UnknInj,ongoing,279,14.861449114141617,-0.36183197103082243,25.09965239216681,1.2996225845185376,12.860440676615118,14.17782139887004,16.02409440861192
Alameda,incident_type,UnknInj,post_last_slot,463,13.615059659107207,-0.3525385712262903,23.3597339752143,-0.4649712381134516,13.343897878641709,13.074532789040125,14.247721437548028
ContraCosta,incident_type,1141,future_any,595,10.551780410312976,-0.15513791791834208,19.97509413458225,-2.225138994807007,9.70713504280631,11.239281869824602,11.399307874390123
ContraCosta,incident_type,1141,history_any,595,10.097785330502585,0.16584078802434554,17.127519426190428,-3.4386154060413503,8.985180443955212,9.966786839067936,12.122962065569059
ContraCosta,incident_type,1141,ongoing,55,8.81773416825122,0.15133663086354154,15.369630138354232,-2.997185638740201,8.308018207550049,10.674738669882016,8.863770167032877
ContraCosta,incident_type,1141,post_last_slot,95,9.639300877048123,0.1173316663311379,16.213721445550803,-2.9284175519020326,8.197814243595774,10.718536376953125,10.371441352658156
ContraCosta,incident_type,NoInj,future_any,1520,16.55908159934089,0.18541431439499334,30.27762683872117,2.570083968090427,15.036071429188846,16.341938120764006,19.209582188704402
ContraCosta,incident_type,NoInj,history_any,1520,17.07481170746332,0.40533629834890306,31.90522728555666,-1.1111433999167812,15.461103160426301,17.455378628376895,19.02117634120424
ContraCosta,incident_type,NoInj,ongoing,140,15.14644357455335,0.5061112238355907,29.797902847019895,0.4875256299315734,14.811922404391707,16.18985127220469,18.468903470630487
ContraCosta,incident_type,NoInj,post_last_slot,240,16.757016890119797,0.48694647106006883,32.03260762721197,0.677228033739348,15.754544097598236,16.75989570239983,18.164005166233174
ContraCosta,incident_type,UnknInj,future_any,2054,13.671729870530141,0.09603471640494554,24.493215917397894,-0.23324007880232514,13.140905549200797,13.954304175233363,14.452595173151677
ContraCosta,incident_type,UnknInj,history_any,2057,13.435274301241913,0.15940914425759978,21.931755263733624,-0.6293799966002588,12.856697199339324,13.450032123744089,14.418164053999282
ContraCosta,incident_type,UnknInj,ongoing,209,13.225960187271712,0.10325894507418276,22.405219210133737,-1.4871109888326153,12.786091520431194,13.5601319812593,13.762772514706565
ContraCosta,incident_type,UnknInj,post_last_slot,330,14.20348975092387,0.14778497050991923,24.45140394299496,-1.8811777545736847,14.722735302671017,13.814773323609657,14.481401700874514
LosAngeles,incident_type,1141,future_any,5316,11.669358227400405,0.09969184496899608,21.387736198769687,-0.050902843064579976,10.771875383756168,11.787284757563254,12.934733109124378
LosAngeles,incident_type,1141,history_any,5330,11.673809619109512,0.010157922838304856,22.157889965198073,-1.552223575797521,10.665516686117948,11.769463219394574,13.117136094426534
LosAngeles,incident_type,1141,ongoing,472,10.787656664513783,0.004672796286858016,19.477905156945205,-0.33407620518312375,9.945952274673164,11.437108869255434,11.946945429527522
LosAngeles,incident_type,1141,post_last_slot,849,11.111784341096188,-0.0017064623642504273,19.993810996807316,-0.33567634756285786,10.019811621592373,11.507902980213107,12.354469015243206
LosAngeles,incident_type,NoInj,future_any,16261,12.688021458850415,-0.0983778871944665,22.782015344134678,-0.9015959421012648,11.67424772045382,12.717353809905742,14.299693695121118
LosAngeles,incident_type,NoInj,history_any,16224,13.086984397507692,-0.017975554296873142,25.670065900885174,-0.5849520471155573,12.08931550787975,13.076152448822192,14.552971258998447
LosAngeles,incident_type,NoInj,ongoing,1545,13.659438256045117,-0.07525911755736026,25.018962697451546,-1.458505670034212,12.542642250883038,13.036773344513717,15.837116913742236
LosAngeles,incident_type,NoInj,post_last_slot,2603,13.061524311489263,-0.05118795262787934,25.01306359693766,-1.1231517821704835,12.358251384519182,12.52945420073026,14.900697214230755
LosAngeles,incident_type,UnknInj,future_any,13829,11.393638938624273,0.061659970838148226,21.462670988746947,-0.6165375920657645,10.446891797294896,11.405344029196518,12.664957309132083
LosAngeles,incident_type,UnknInj,history_any,13812,11.85019817867409,0.126557975235583,24.945587524751332,-0.8861054773369276,10.941778252294856,11.864536113561012,13.282786160156075
LosAngeles,incident_type,UnknInj,ongoing,1280,11.304576010804183,0.0775147867328414,22.62813571921619,-1.1913480361905577,9.520820540796086,12.058541320859526,12.79394536022961
LosAngeles,incident_type,UnknInj,post_last_slot,2200,11.635732911277556,0.15715290261901238,23.582588466560928,-1.10259896882275,10.387206135700303,12.07542806497349,13.404077478240898
Orange,incident_type,1141,future_any,1507,11.84955162108325,-0.13791109091107145,19.62267367189231,-1.5121438109933205,10.889669517915411,11.824894323356684,13.753692991729688
Orange,incident_type,1141,history_any,1495,13.135513738199926,-0.019462135322184437,22.854076503240343,-1.216865375538977,11.627619223866036,13.450201825776912,14.442758821546546
Orange,incident_type,1141,ongoing,130,12.092382994152251,-0.19829720996674993,21.253342312515226,-2.4871371254088386,9.70415003794544,11.68933604313777,15.166539582752046
Orange,incident_type,1141,post_last_slot,240,12.635195077067674,-0.13481987847222143,21.89962851261791,-2.5780073223691997,10.15121288492222,12.007062979761114,15.088131928563717
Orange,incident_type,NoInj,future_any,3882,12.708806413756513,0.02279186757246876,26.19063837835303,0.22729357475677642,11.304220744933994,12.609576898624299,14.714336858752143
Orange,incident_type,NoInj,history_any,3874,12.603302051819652,0.035489546085921475,23.13036494931293,-0.8492130567331596,11.730211807228894,12.75078136484873,13.677257228332891
Orange,incident_type,NoInj,ongoing,384,13.010508595634375,0.12105679165831695,21.941177127635893,-0.6834895699911246,12.43519907270159,13.739330368041992,13.489825047084263
Orange,incident_type,NoInj,post_last_slot,627,12.664299221993485,-0.03437457983372916,22.081635901791756,-0.6462454524593333,11.613757004056659,12.908175771655664,13.427599854222805
Orange,incident_type,UnknInj,future_any,4234,9.999729037161083,-0.03310813898642628,17.712443085867093,0.2942006589811779,9.22125919088278,9.94779421550371,11.047568294809022
Orange,incident_type,UnknInj,history_any,4234,9.660051556775004,0.15944593083331782,17.3394241912929,0.2308295652814273,9.007084528605143,9.663695980657783,10.814924184257192
Orange,incident_type,UnknInj,ongoing,389,10.200054665947702,-0.015732149205783585,17.71733064211272,0.8577723855638318,9.404770814778168,11.071600544659388,10.594809310380803
Orange,incident_type,UnknInj,post_last_slot,677,9.791341330444508,0.028565750986590643,17.54139937768208,0.37275417911432285,9.152124729286246,10.45098860199387,10.18642665817701
Alameda,pm_relation,at_source,future_any,789,13.607765935900645,-0.1541086635467508,22.169495155991388,-2.0373545702545,12.038496489348235,13.66574442650754,15.371637027869316
Alameda,pm_relation,at_source,history_any,789,14.492463356747656,-0.210113204969133,25.142826195601607,-1.7737657937715114,13.028052622701278,14.571661267161545,16.660750662982025
Alameda,pm_relation,at_source,ongoing,76,18.234428810862312,-0.4102633991072686,29.03071395680374,-0.430666666718108,14.683617794152463,18.081013188217625,21.20986221775864
Alameda,pm_relation,at_source,post_last_slot,129,14.553753791849267,-0.34774867532125775,23.74836552386558,-3.425076624609816,14.664890081232244,14.189586123904666,15.510740037397905
Alameda,pm_relation,downstream,future_any,2693,13.07946034001888,-0.053921013499200754,25.03040814018833,-2.1630958357373045,11.607365461395668,13.166442748995529,14.388927953177635
Alameda,pm_relation,downstream,history_any,2693,12.719924590295731,0.04858050789222368,22.76583368517551,-2.248785327782575,12.05723770211596,13.09969378591954,13.536090928107555
Alameda,pm_relation,downstream,ongoing,264,12.955193528882631,-0.09837772703837366,23.277458736471484,-1.177874903212357,10.454351367372455,12.855140802811603,13.252029849321413
Alameda,pm_relation,downstream,post_last_slot,436,13.18894035156713,-0.04206502570391635,23.6221385135749,-1.4749283411966791,11.92550786336263,14.048463437780105,13.89146990653796
Alameda,pm_relation,upstream,future_any,3248,11.68968072795899,-0.10062580800297916,19.63744634434755,-1.3676854532086666,11.452335082625147,11.73259606855956,12.416164212402919
Alameda,pm_relation,upstream,history_any,3248,11.361792515314443,-0.19067203109915276,19.458382619167097,-1.4859901649746294,10.966280291544196,11.428436426826604,11.87477781464094
Alameda,pm_relation,upstream,ongoing,347,12.13652006835168,-0.11875844114479683,20.42191070306729,-1.4052806340892947,11.724719444017731,11.644355289971651,13.037677852252058
Alameda,pm_relation,upstream,post_last_slot,522,11.748915934087591,-0.21739987950831186,19.798350305953203,-1.2816879098713034,11.400155425360358,11.047652403898446,11.869513567756204
ContraCosta,pm_relation,at_source,future_any,731,17.769344043521166,0.2491998167227436,31.644350806459684,-1.0616963167590547,16.053328747780906,16.99616812396523,20.85478930441749
ContraCosta,pm_relation,at_source,history_any,734,19.551977574297812,0.33928625140569935,36.64448779989466,0.48278979601058286,17.022269607974128,18.874515451206694,23.912621141075096
ContraCosta,pm_relation,at_source,ongoing,62,19.151640390738464,0.42704321787907773,35.733607277737555,1.935650654328175,15.195503381582407,21.680124282836914,19.98769628084623
ContraCosta,pm_relation,at_source,post_last_slot,115,19.255359823661937,0.40852697941294736,37.19559399318251,1.8044339698657654,15.013524266293174,20.0421192369963,20.262086968672904
ContraCosta,pm_relation,downstream,future_any,1766,13.951215690185794,0.022523754734319112,24.06649064673986,-1.4823729763327136,13.012206575544354,14.24261073809239,15.189932294308797
ContraCosta,pm_relation,downstream,history_any,1766,14.148281528589237,0.24840649706286655,23.597389796004567,-2.5201146814659934,13.381312763348173,14.703615970819026,14.661726110409468
ContraCosta,pm_relation,downstream,ongoing,206,12.625114193839108,-0.07434297056636474,21.738844592859657,-1.7896268665138428,11.839726705399771,13.197700420599332,13.694343868054842
ContraCosta,pm_relation,downstream,post_last_slot,289,14.338705381270875,0.12807212339357577,24.21409941964009,-2.75411683680898,14.41414367735154,14.360243900005633,14.321558080294716
ContraCosta,pm_relation,upstream,future_any,1625,13.16168949843006,0.10784682976051307,25.9966626943711,3.356034231482808,12.669131816567997,13.582910664876302,14.069445530457168
ContraCosta,pm_relation,upstream,history_any,1625,12.060973735620314,0.1978246462121085,21.11881112679227,-0.7099996352155005,11.39796356715011,12.051645542638704,13.41471770434194
ContraCosta,pm_relation,upstream,ongoing,171,13.721690717088013,0.5715994311509967,24.81476082653599,1.7099325366264801,14.930926594513142,14.599133927301066,14.478590580011835
ContraCosta,pm_relation,upstream,post_last_slot,260,12.443548706424318,0.3479649834701455,23.20415731527402,-0.5567178892241023,13.465750572898171,12.029910347678445,13.857565481012518
LosAngeles,pm_relation,at_source,future_any,5550,9.95924308833693,-0.10474091020650711,18.796274378541792,-0.2868272725502471,8.982355201897755,9.764592882547683,11.51453196282043
LosAngeles,pm_relation,at_source,history_any,5558,11.083186321090217,0.2196014822180885,24.916213342078773,0.022827199012892863,10.035070802635294,11.080816475496297,12.607738791160212
LosAngeles,pm_relation,at_source,ongoing,570,10.64779463034002,-0.10005164430480384,21.580181873210595,-0.4542879600009812,8.739376339946393,10.540438464022023,13.072045157400614
