node_windows,valid_values,MAE,RMSE,bias,MAE@h3,MAE@h6,MAE@h12,county,model,factor,value,scope,result_dir,STID_MAE,STID_RMSE,STID_bias,STID_MAE@h3,STID_MAE@h6,STID_MAE@h12,delta_vs_STID_MAE,delta_vs_STID_RMSE,delta_vs_STID_bias,delta_vs_STID_MAE@h3,delta_vs_STID_MAE@h6,delta_vs_STID_MAE@h12
0,0,,,,,,,LosAngeles,STID,impact_threshold,q50=1.8333;q75=7.9167,history_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,,,,,,,,,,,,
2805,21031,5.155932751266917,10.879844503896413,-0.24851832177384955,4.684435548340681,5.067518869307117,5.935057754995889,LosAngeles,STID,impact_abs,low,post_last_slot,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,5.155932751266917,10.879844503896413,-0.24851832177384955,4.684435548340681,5.067518869307117,5.935057754995889,0.0,0.0,0.0,0.0,0.0,0.0
1403,16671,10.282336226522755,15.907078970128083,-0.9417021806721609,9.978526986760201,10.217500133075934,11.213995576248388,LosAngeles,STID,impact_abs,mid,post_last_slot,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,10.282336226522755,15.907078970128083,-0.9417021806721609,9.978526986760201,10.217500133075934,11.213995576248388,0.0,0.0,0.0,0.0,0.0,0.0
1401,16672,22.89594466855567,37.77111338199425,-2.0389907579733175,20.52607164334804,22.810237053570177,26.657611390699227,LosAngeles,STID,impact_abs,high,post_last_slot,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,22.89594466855567,37.77111338199425,-2.0389907579733175,20.52607164334804,22.810237053570177,26.657611390699227,0.0,0.0,0.0,0.0,0.0,0.0
1886,21842,13.16612101976562,23.121729449067825,4.147290417109094,12.137425752483017,12.801748118730329,15.096720741607331,LosAngeles,STID,impact_direction,drop,post_last_slot,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,13.16612101976562,23.121729449067825,4.147290417109094,12.137425752483017,12.801748118730329,15.096720741607331,0.0,0.0,0.0,0.0,0.0,0.0
2090,24370,14.073031264951986,27.250586842274913,-5.899085456619607,12.950007955135527,14.239962032728581,15.90873563454231,LosAngeles,STID,impact_direction,rise,post_last_slot,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,14.073031264951986,27.250586842274913,-5.899085456619607,12.950007955135527,14.239962032728581,15.90873563454231,0.0,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,LosAngeles,STID,impact_threshold,q50=1.7779;q75=8.7500,post_last_slot,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,,,,,,,,,,,,
1784,12969,5.323294770847226,11.313073481521787,-0.1600163359990952,4.884541771789043,5.337430255388614,6.030476221397741,LosAngeles,STID,impact_abs,low,ongoing,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,5.323294770847226,11.313073481521787,-0.1600163359990952,4.884541771789043,5.337430255388614,6.030476221397741,0.0,0.0,0.0,0.0,0.0,0.0
888,10504,10.898486666160055,17.141424607403458,-0.940391826702272,10.139361069438939,11.106084364713801,11.962290882927718,LosAngeles,STID,impact_abs,mid,ongoing,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,10.898486666160055,17.141424607403458,-0.940391826702272,10.139361069438939,11.106084364713801,11.962290882927718,0.0,0.0,0.0,0.0,0.0,0.0
889,10415,23.167457382048315,39.362809632735335,-2.82710161067177,19.538005701407858,23.4429289162983,27.883831345732162,LosAngeles,STID,impact_abs,high,ongoing,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,23.167457382048315,39.362809632735335,-2.82710161067177,19.538005701407858,23.4429289162983,27.883831345732162,0.0,0.0,0.0,0.0,0.0,0.0
