county,group,node_windows,STID_MAE,Posthoc_MAE,delta_vs_STID_MAE,STID_RMSE,Posthoc_RMSE,STID_bias,Posthoc_bias,Posthoc_MAE@h3,Posthoc_MAE@h6,Posthoc_MAE@h12
Alameda,high_impact_post_last,134,24.26769256591797,24.542356491088867,0.27466392517089844,34.64620590209961,35.0518684387207,-4.833396911621094,-3.5687460899353027,26.08582305908203,24.273853302001953,24.839275360107422
Alameda,impact_drop_history_any,1156,12.553646087646484,13.745052337646484,1.19140625,22.03668212890625,22.692554473876953,2.258669853210449,4.683929443359375,13.3027925491333,13.969435691833496,13.595911026000977
Alameda,impact_rise_history_any,1164,14.844245910644531,15.0245943069458,0.18034839630126953,23.900245666503906,23.705625534057617,-7.029853343963623,-4.2755656242370605,14.538020133972168,15.005837440490723,15.999984741210938
ContraCosta,all_eval,1284640,10.676130294799805,10.678046226501465,0.0019159317016601562,19.985336303710938,19.988000869750977,-1.2000236511230469,-1.1969165802001953,9.844881057739258,10.674459457397461,11.96126651763916
ContraCosta,no_event,1280752,10.663728713989258,10.663728713989258,0.0,19.961362838745117,19.961362838745117,-1.2053132057189941,-1.2053132057189941,9.831644058227539,10.660301208496094,11.94448184967041
ContraCosta,history_any,2062,14.914154052734375,16.0836181640625,1.169464111328125,27.1811580657959,28.349855422973633,0.5881659388542175,2.483271837234497,15.096824645996094,15.964296340942383,18.07076644897461
ContraCosta,post_last_slot,328,15.130518913269043,16.433149337768555,1.3026304244995117,28.628358840942383,29.39484977722168,1.1564191579818726,3.038879632949829,16.79993438720703,16.719669342041016,17.387142181396484
ContraCosta,ongoing,229,14.612984657287598,15.787446975708008,1.1744623184204102,27.29149627685547,27.89739227294922,1.653417944908142,3.8544559478759766,15.827901840209961,17.27008056640625,15.385003089904785
ContraCosta,high_impact_history_any,521,29.09249496459961,30.046205520629883,0.9537105560302734,44.25020980834961,46.002532958984375,3.3999507427215576,4.24530029296875,27.47900390625,30.288000106811523,33.46051788330078
ContraCosta,high_impact_post_last,83,31.08513832092285,31.89117431640625,0.8060359954833984,48.11932373046875,48.860618591308594,6.440079689025879,5.879436492919922,31.437482833862305,32.709415435791016,33.33203887939453
ContraCosta,impact_drop_history_any,873,16.899917602539062,18.234394073486328,1.3344764709472656,31.653566360473633,33.478424072265625,5.924575328826904,7.741398811340332,16.79126739501953,18.178098678588867,20.52550506591797
ContraCosta,impact_rise_history_any,677,15.456116676330566,16.204965591430664,0.7488489151000977,24.79692268371582,24.913299560546875,-5.827967643737793,-3.723942518234253,15.4754056930542,15.948779106140137,18.33327865600586
