county,method,horizon,mae
ContraCosta,persistence,6,18.824512395466844
ContraCosta,persistence,7,20.203027004085175
ContraCosta,persistence,8,21.633596418981682
ContraCosta,persistence,9,22.58471378300288
ContraCosta,persistence,10,22.763228402072436
ContraCosta,persistence,11,22.5253046610584
ContraCosta,persistence,12,23.98053162979753
ContraCosta,global_residual_ridge_target_mean,1,12.219703106414439
ContraCosta,global_residual_ridge_target_mean,2,14.596489739814778
ContraCosta,global_residual_ridge_target_mean,3,16.587684151381204
ContraCosta,global_residual_ridge_target_mean,4,18.358790404879812
ContraCosta,global_residual_ridge_target_mean,5,19.892475663838493
ContraCosta,global_residual_ridge_target_mean,6,19.14730547379682
ContraCosta,global_residual_ridge_target_mean,7,20.532736639611773
ContraCosta,global_residual_ridge_target_mean,8,21.881425831498024
ContraCosta,global_residual_ridge_target_mean,9,22.830930434118994
ContraCosta,global_residual_ridge_target_mean,10,23.107845098413026
ContraCosta,global_residual_ridge_target_mean,11,23.12888880720514
ContraCosta,global_residual_ridge_target_mean,12,24.620072003999372
ContraCosta,ridge_residual_expert,1,12.027218182495936
ContraCosta,ridge_residual_expert,2,14.219444085446256
ContraCosta,ridge_residual_expert,3,15.658955099696128
ContraCosta,ridge_residual_expert,4,17.32108311649134
ContraCosta,ridge_residual_expert,5,19.675351820000785
ContraCosta,ridge_residual_expert,6,18.221231378468453
ContraCosta,ridge_residual_expert,7,20.222373132060284
ContraCosta,ridge_residual_expert,8,21.30685770801428
ContraCosta,ridge_residual_expert,9,22.470771082653823
ContraCosta,ridge_residual_expert,10,22.527154654150188
ContraCosta,ridge_residual_expert,11,22.69179594188615
ContraCosta,ridge_residual_expert,12,23.450906045459657
ContraCosta,impact_score_gated_ridge_q75,1,11.591196193344079
ContraCosta,impact_score_gated_ridge_q75,2,13.831454886178078
ContraCosta,impact_score_gated_ridge_q75,3,15.381899655982174
ContraCosta,impact_score_gated_ridge_q75,4,16.73106667808434
ContraCosta,impact_score_gated_ridge_q75,5,18.915591679515106
