group,group_definition,node_windows,node_window_ratio,valid_values,MAE,RMSE,bias,MAE@h1,RMSE@h1,bias@h1,valid@h1,MAE@h3,RMSE@h3,bias@h3,valid@h3,MAE@h6,RMSE@h6,bias@h6,valid@h6,MAE@h12,RMSE@h12,bias@h12,valid@h12,county,model,result_dir,STID_MAE,STID_RMSE,STID_bias,STID_MAE@h1,STID_MAE@h3,STID_MAE@h6,STID_MAE@h12,delta_vs_STID_MAE,delta_vs_STID_RMSE,delta_vs_STID_bias,delta_vs_STID_MAE@h1,delta_vs_STID_MAE@h3,delta_vs_STID_MAE@h6,delta_vs_STID_MAE@h12
ongoing,history has accident and future has accident,3572,0.0003893705757059794,33972,12.521883730190488,24.797807953400092,-1.2197589553119745,10.468751495854585,18.902002607165553,-0.8026572031113604,2846,11.031973874152358,20.019137559434483,-0.8283519845862208,2833,12.734470632097363,27.896323261238628,-1.3998218205544801,2825,14.466378418412761,31.071885248166797,-1.236969443565569,2818,LosAngeles,STIDGatedAccident,BasicTS/checkpoints/STIDGatedAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_gated_accident/2742d597068ff19e251df0b9964af382/test_results,12.530462165526194,24.805434855464505,-1.227984718112548,10.462753219497262,11.01692988634362,12.700081877581841,14.58627129007181,-0.008578435335705237,-0.007626902064412633,0.008225762800573522,0.0059982763573227516,0.01504398780873828,0.034388754515521924,-0.11989287165904905
post_last_slot,last history slot has accident,5628,0.0006134875700093092,54506,12.196931583327695,23.74219091720757,-0.9613414193732417,10.376931409023642,18.303509389437597,-0.556670221558153,4556,11.201582284968987,22.630999884677735,-0.8429348974835381,4537,12.184109535057605,25.200076341976793,-1.09264982332346,4539,13.905164906084407,28.860927575606826,-0.9783222665866601,4538,LosAngeles,STIDGatedAccident,BasicTS/checkpoints/STIDGatedAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_gated_accident/2742d597068ff19e251df0b9964af382/test_results,12.162037107251882,23.66364823137763,-1.01242319131621,10.358096818530424,11.167961712526754,12.102622828680031,13.890064162165649,0.034894476075812975,0.07854268582994095,0.05108177194296837,0.018834590493218784,0.033620572442233154,0.08148670637757327,0.015100743918758042
future_any,future window has accident,34826,0.003796254106813113,338327,11.987641417363971,21.727648127446663,-0.60442482155661,10.02035452438691,17.184200417163133,-0.3283837121787228,28198,11.02959895379137,19.263677152234944,-0.41080799972526605,28202,12.017988083498171,21.853979452488364,-0.47898917359809406,28204,13.411821365559492,25.013332408566168,-0.8322343243889666,28181,LosAngeles,STIDGatedAccident,BasicTS/checkpoints/STIDGatedAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_gated_accident/2742d597068ff19e251df0b9964af382/test_results,12.003270324168168,21.73336568931792,-0.767491243166109,10.021781559370622,11.03896742608985,12.01871585480762,13.464538791884312,-0.015628906804197484,-0.005717561871257715,0.1630664216094989,-0.0014270349837115504,-0.009368472298479702,-0.0007277713094495653,-0.05271742632482024
history_any,history window has accident,34789,0.0037922208729662147,337925,12.273846545091367,23.8252253246213,-0.7096107430869749,10.217175239875857,18.815247668095907,-0.40186831167699516,28165,11.29973879892489,21.85524842677143,-0.4891006804902932,28157,12.295731914632297,24.001050148456404,-0.7518360594879467,28159,13.715075794582527,26.836669117542744,-0.7374265600053538,28156,LosAngeles,STIDGatedAccident,BasicTS/checkpoints/STIDGatedAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_gated_accident/2742d597068ff19e251df0b9964af382/test_results,12.23427326468521,23.62919408163032,-0.7554173551428077,10.212362967785227,11.274061902957946,12.263969854619498,13.664214992509645,0.03957328040615593,0.19603124299097985,0.04580661205583281,0.004812272090630287,0.025676895966944002,0.0317620600127988,0.05086080207288113
all,all test node-windows,5128200,1.0,51797393,10.407690856178805,20.58581789609306,-1.0861854294210087,8.695543338512076,16.127377237792018,-0.5813770282581058,4316363,9.601828533395825,18.540301749010997,-0.8245253763937346,4316393,10.428619122013398,20.593921170249555,-1.136548515968454,4316444,11.6405163082698,23.30885980217954,-1.502520224111365,4316537,Orange,STID,BasicTS/checkpoints/STID/TraffiDent_Orange_2023Q1_100_12_12_pure/61962a5bc414e6aa3e3d288a2850d204/test_results,10.407690856178805,20.58581789609306,-1.0861854294210087,8.695543338512076,9.601828533395825,10.428619122013398,11.6405163082698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_event,no accident in history or future window,5110260,0.9965016965016965,51609934,10.404488935211582,20.583488462008635,-1.0884008434367016,8.692803944813155,16.125695131747094,-0.5823013576341783,4300717,9.598994379563733,18.539562842396755,-0.8259408451467966,4300756,10.425459389673817,20.5920562171995,-1.138763965841812,4300815,11.637145278207722,23.306176098554985,-1.5056920201808743,4300941,Orange,STID,BasicTS/checkpoints/STID/TraffiDent_Orange_2023Q1_100_12_12_pure/61962a5bc414e6aa3e3d288a2850d204/test_results,10.404488935211582,20.583488462008635,-1.0884008434367016,8.692803944813155,9.598994379563733,10.425459389673817,11.637145278207722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
future_onset,"history has no accident, future has accident",8503,0.001658086658086658,88871,11.35694708767659,22.000541879919133,-0.29822081915161575,9.458748326032563,17.07937776651101,-0.22717119049733817,7427,10.2781655920805,18.889289113897007,-0.26134463873192304,7420,11.254533323819384,21.631375290126687,-0.4224879736519272,7408,12.925632931429284,25.795676562704337,-0.25274903441043745,7384,Orange,STID,BasicTS/checkpoints/STID/TraffiDent_Orange_2023Q1_100_12_12_pure/61962a5bc414e6aa3e3d288a2850d204/test_results,11.35694708767659,22.000541879919133,-0.29822081915161575,9.458748326032563,10.2781655920805,11.254533323819384,12.925632931429284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_only,"history has accident, future has no accident",8483,0.0016541866541866543,88470,11.20963436526418,20.55534432288481,-0.6460461438544338,9.437242621775237,16.19561212005736,-0.4681617635394721,7372,10.489582290421794,18.756427968946348,-0.5032835619734787,7374,11.261719807253046,20.590108145515845,-0.643883539232157,7375,12.250298307462312,22.546055220778594,-0.9785739197663712,7368,Orange,STID,BasicTS/checkpoints/STID/TraffiDent_Orange_2023Q1_100_12_12_pure/61962a5bc414e6aa3e3d288a2850d204/test_results,11.20963436526418,20.55534432288481,-0.6460461438544338,9.437242621775237,10.489582290421794,11.261719807253046,12.250298307462312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ongoing,history has accident and future has accident,954,0.00018603018603018603,10118,11.391330322368175,19.86610612488536,-0.5554788155526506,9.457660859703596,15.465681103035035,0.02070176756227171,847,10.342227370147887,17.26295862394925,-1.3702199309180498,843,11.997043194782085,20.79290699870926,-0.4213263148675292,846,12.252905814003606,20.440853676009546,-0.8473740076001787,844,Orange,STID,BasicTS/checkpoints/STID/TraffiDent_Orange_2023Q1_100_12_12_pure/61962a5bc414e6aa3e3d288a2850d204/test_results,11.391330322368175,19.86610612488536,-0.5554788155526506,9.457660859703596,10.342227370147887,11.997043194782085,12.252905814003606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
post_last_slot,last history slot has accident,1527,0.0002977652977652978,15977,11.327018730152592,20.251992924559367,-0.5331290892637842,9.257209880777385,15.53836707716057,-0.23811429551337612,1334,10.131504342789041,17.474303568326825,-1.1964981107783497,1330,11.598542259124939,20.397106707072393,-0.10633895782653444,1336,12.152778800054323,20.75921431740612,-1.3812673787648573,1333,Orange,STID,BasicTS/checkpoints/STID/TraffiDent_Orange_2023Q1_100_12_12_pure/61962a5bc414e6aa3e3d288a2850d204/test_results,11.327018730152592,20.251992924559367,-0.5331290892637842,9.257209880777385,10.131504342789041,11.598542259124939,12.152778800054323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
